"0","26982.530369120253","47989.01687228421","99533.69433245344"
"1","27144.745892696064","56923.69432173985","129853.35725749745"
"2","27243.555051521467","69894.75529257854","161848.52391083114"
"3","27620.341055918056","79814.84544737861","193343.51744420442"
"4","27797.18409928807","70269.81339572165","224481.75916779178"
"5","28423.74637854923","75222.7002767456","255966.3052104249"
"6","26601.51878892491","89109.45048118921","287450.85125305795"
"7","26878.463478428148","105219.7911791411","318935.39729569096"
"8","27138.928166319332","108875.10389993478","351875.4780019847"
"9","28329.826676758996","119812.52555351643","384815.55870827846"
"10","27533.53335218425","118690.25713272378","383593.638885655"
"11","26633.491856249504","123183.47514772249","411980.8514573629"
"12","27583.89796302692","154831.0997232318","440269.65112180455"
"13","28288.799664441663","142608.67822911593","471359.4461316286"
"14","28133.586869050603","149830.54045805856","502510.47931923944"
"15","29915.234828086064","148639.25671316587","532425.7141473254"
"16","29672.517082805225","175823.84786906463","562098.2312301303"
"17","28817.697916472625","194880.5795050962","592033.0223880407"
"18","28189.22093253568","120197.3402830087","620249.6043212072"
"19","28073.32133312629","183201.28881870658","648466.1862543736"
"20","28216.5819331668","138544.16899340277","677614.0198997927"
"21","27662.685940253985","161519.81995384803","706761.8535452118"
"22","27662.685940253985","198994.34544881224","735556.6412053005"
"23","28689.294569326536","216363.25869939462","765017.1813795405"
"24","28600.55836264389","262559.19069329376","794501.5289336322"
"25","28878.06514860737","350502.31898477254","824270.0585115482"
"26","29484.34755409162","229027.50367258847","853997.7382372534"
"27","28414.81390364503","256184.57147477518","882861.6658477231"
"28","28863.927610469505","350400.5137875146","911803.5516379285"
"29","27868.693126320784","223082.16835804714","942029.7825175181"
"30","27123.431013727448","174566.5145021219","972525.9730955234"
"31","27701.48353337921","201743.3118352079","1003022.1636735287"
"32","27701.48353337921","258736.04744954925","1034672.0566759348"
"33","29719.820037216334","184008.8630721129","1065018.47764231"
"34","30187.09104392335","351391.9354529878","1095364.8986086848"
"35","30083.22553553946","247965.08625268377","1125579.5711081754"
"36","29201.00488934369","249501.63421358072","1154780.575997519"
"37","28893.25290845096","252367.87843468782","1184415.0313341306"
"38","28571.986902241675","283348.96386932256","1212987.0182363726"
"39","27570.81837552438","386637.2551606325","1242574.3185456677"
"40","27570.81837552438","378252.49319060467","1271218.5307507555"
"41","28644.212205087373","335708.18261782214","1299862.7429558432"
"42","26185.270950565453","252677.52310379263","1326048.0139064088"
"43","25553.261243339086","244637.8129095415","1351901.8180653017"
"44","25645.49185958508","275639.6247985134","1378060.5225505363"
"45","25335.89160519183","194600.33169011242","1403815.596728098"
"46","25645.49185958508","189942.36748078847","1431319.016285369"
"47","25645.49185958508","336124.34702065797","1458822.4358426398"
"48","25466.636839790517","268946.10336055106","1487949.3390802376"
"49","28912.793167869506","308027.9628152994","1517076.2423178353"
"50","28089.659409588527","355110.3709856201","1546269.9968433252"
"51","26889.88452020675","285838.6065696259","1576073.8687310903"
"52","26889.88452020675","289351.0812568544","1606251.2766455777"
"53","26444.6296151225","356121.26640401816","1635907.017954653"
"54","26444.6296151225","408619.5568442826","1665562.759263728"
"55","27488.221436115007","246694.70463261797","1693050.9806998433"
"56","27427.452438932316","204469.06589640368","1720539.2021359585"
"57","26900.604853137316","175268.98846953377","1748027.4235720737"
"58","26959.696835343082","268175.2337363854","1775515.645008189"
"59","26927.844792844324","291290.16214814305","1802652.1110938583"
"60","26927.844792844324","347518.4067461418","1829896.1348563998"
"61","26724.559417876328","388992.99598383723","1857258.7705126237"
"62","26724.559417876328","447133.0839316593","1884772.0542271659"
"63","26724.559417876328","491096.8192472631","1912461.632671851"
"64","26685.938981259624","471486.99252298736","1940151.211116536"
"65","26716.82555878735","458710.6638445005","1967475.170989272"
"66","26074.753505721037","504022.0329209795","1995325.5123591102"
"67","26927.03127731216","551470.7855452506","2022732.200400418"
"68","25884.572882004068","597510.2475766535","2050981.3959587347"
"69","27043.602496071086","686082.0849050115","2078024.9984548057"
"70","27067.1999230645","672815.6332942529","2105342.8821814577"
"71","27016.81478350491","409500.7377598773","2132476.5910745934"
"72","26303.860357439105","456248.65680005506","2160816.062960552"
"73","27133.70889313502","313787.44550718315","2189049.0471788994"
"74","27413.07704836952","278551.0815218093","2217620.293839848"
"75","28096.614764641596","416494.0545255524","2246423.315372426"
"76","27910.356585501973","529486.76118878","2276260.153055099"
"77","28560.554701493966","534745.8476892705","2306096.9907377716"
"78","28571.246660947665","632864.8364086736","2335514.251639903"
"79","29417.26090213207","641853.2498869528","2365070.5022261743"
"80","28779.471904223363","458185.12994602346","2394837.453457562"
"81","28744.027376803628","510679.7168667197","2424852.737138022"
"82","28026.445643347037","468552.3503503985","2452893.5656093885"
"83","27404.54950509254","447743.62576687336","2480315.5608148472"
"84","27252.71970084275","680223.3748292221","2508043.65752592"
"85","26887.34719990789","881433.1551550005","2534931.0047258274"
"86","26887.34719990789","739065.4892503698","2562778.944723027"
"87","27847.939997199035","465977.5829702746","2591188.6074786508"
"88","27847.939997199035","629728.3814982773","2619599.4051626576"
"89","27920.25442597143","558888.0013698613","2647519.6595886294"
"90","27634.7011976006","745937.6206257899","2675704.2913630544"
"91","28097.82039617642","701383.0546996882","2704327.384701715"
"92","27736.4591418801","438466.57998717733","2732950.4780403753"
"93","28239.55265470559","362750.1516546786","2761214.81131513"
"94","28176.700583797716","260006.56572719608","2790312.6096204435"
"95","27623.642838876007","293544.1061127262","2819410.407925757"
"96","28239.55265470559","605422.8538850787","2848638.254086828"
"97","27992.467764686266","834807.2060827093","2876843.102423566"
